Day,Mois_Beans,Mois_Maize,Mois_Onion,Mois_Rice,Temp_beans,Temp_Maize,Temp_Onion,Temp_Rice,Temp_Surr,Humid_beans,Humid_Maize,Humid_Onion,Humid_Surr,water_level
1,36,36,36,37,18,18,18,18,17,92,92,92,81,16
2,27,27,36,29,18,18,18,17,18,92,92,92,82,24
3,18,19,38,26,18,18,18,18,18,92,92,92,82,28
4,67,56,60,81,18,18,18,18,17,92,92,92,81,23
5,93,75,77,116,18,18,18,18,18,92,92,92,82,30
6,98,74,74,99,18,18,18,18,18,92,92,92,84,29
7,87,73,73,102,18,18,18,18,18,92,92,92,82,25
8,87,73,73,101,18,18,18,18,18,92,92,92,82,25
9,86,73,73,94,18,18,18,18,18,93,92,93,85,29
10,86,74,73,94,18,18,18,18,18,92,92,93,83,29
11,85,73,72,98,18,17,18,18,18,92,92,93,82,31
12,83,72,69,94,18,17,18,18,18,92,92,92,79,28
13,83,72,69,91,17,18,17,17,18,92,92,92,83,28
14,82,72,71,100,17,18,17,17,18,92,92,92,83,27
15,83,70,71,102,18,18,17,17,18,92,92,91,82,25
16,82,67,69,98,17,17,17,17,18,92,92,91,92,33
17,82,69,71,101,18,17,17,17,18,92,92,92,88,30
18,82,69,72,97,17,17,18,18,18,92,92,93,92,35
19,81,68,71,95,17,17,17,18,18,92,92,93,92,30
20,80,68,69,90,18,17,18,18,18,92,92,93,89,30
21,78,70,68,86,18,17,18,18,18,92,92,93,90,26
22,77,69,68,85,18,17,18,18,18,92,92,92,93,29
23,77,68,67,88,18,17,18,18,18,92,92,93,93,29
24,77,68,67,99,18,17,18,18,18,92,92,93,93,27
25,78,67,67,98,18,17,18,18,18,92,92,92,93,26
26,81,66,69,97,18,17,18,18,18,92,92,92,93,30
27,83,67,69,97,17,17,17,17,18,92,92,92,91,35
28,83,66,68,96,17,17,17,17,17,92,92,92,88,34
29,78,63,64,93,17,17,17,17,18,92,92,92,88,25
30,71,60,60,90,17,18,17,17,17,92,92,92,91,25
31,74,59,60,91,17,18,17,17,17,92,92,92,91,25
32,73,61,58,91,17,18,17,17,17,92,92,92,92,21
33,75,61,60,93,17,18,17,17,18,92,92,92,91,38
34,73,60,60,90,17,18,17,17,18,92,92,92,93,39
35,74,59,60,92,17,17,17,17,17,92,92,92,92,40
36,74,61,61,91,17,18,17,17,18,92,92,92,93,38
37,73,61,61,91,17,17,17,17,18,92,92,92,93,34
